Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,
2025-03-15 00:00:00+00:00,1916.3712158203125,1917.1236572265625,1910.859619140625,1910.859619140625,0
2025-03-15 01:00:00+00:00,1911.185546875,1919.16650390625,1906.0987548828125,1915.935546875,0
2025-03-15 02:00:00+00:00,1914.3043212890625,1915.79150390625,1905.61572265625,1911.485107421875,20381696
2025-03-15 03:00:00+00:00,1920.606689453125,1921.6727294921875,1913.7144775390625,1913.7144775390625,0
2025-03-15 04:00:00+00:00,1932.60546875,1933.10888671875,1917.0948486328125,1920.7198486328125,3981312
2025-03-15 05:00:00+00:00,1929.75244140625,1931.8846435546875,1926.1307373046875,1931.8846435546875,0
2025-03-15 06:00:00+00:00,1927.83740234375,1930.014892578125,1924.82666015625,1929.1585693359375,110299136
2025-03-15 07:00:00+00:00,1918.2076416015625,1928.6417236328125,1915.052734375,1928.381591796875,0
2025-03-15 08:00:00+00:00,1920.1571044921875,1921.2130126953125,1914.7486572265625,1917.8233642578125,0
2025-03-15 09:00:00+00:00,1925.3526611328125,1925.8773193359375,1915.157958984375,1920.8717041015625,55152640
2025-03-15 10:00:00+00:00,1928.3541259765625,1928.97021484375,1920.673583984375,1925.964599609375,0
2025-03-15 11:00:00+00:00,1931.1475830078125,1931.8701171875,1927.2421875,1927.7213134765625,0
2025-03-15 12:00:00+00:00,1924.3885498046875,1931.237060546875,1924.3521728515625,1929.651123046875,0
2025-03-15 13:00:00+00:00,1931.3782958984375,1932.384521484375,1923.878173828125,1923.878173828125,0
2025-03-15 14:00:00+00:00,1927.140869140625,1931.124755859375,1924.4876708984375,1931.124755859375,0
2025-03-15 15:00:00+00:00,1936.9449462890625,1938.5487060546875,1926.79931640625,1926.79931640625,0
2025-03-15 16:00:00+00:00,1939.362060546875,1944.407470703125,1933.9114990234375,1937.4708251953125,0
2025-03-15 17:00:00+00:00,1940.20458984375,1945.8408203125,1936.57763671875,1938.0216064453125,0
2025-03-15 18:00:00+00:00,1933.286865234375,1944.4278564453125,1931.642578125,1940.22216796875,0
2025-03-15 19:00:00+00:00,1937.072265625,1937.4217529296875,1929.7486572265625,1933.287841796875,0
2025-03-15 20:00:00+00:00,1943.71044921875,1948.8701171875,1937.0599365234375,1937.0599365234375,0
2025-03-15 21:00:00+00:00,1950.8660888671875,1952.444091796875,1940.83837890625,1943.69677734375,0
2025-03-15 22:00:00+00:00,1943.613525390625,1954.0245361328125,1941.134765625,1950.601318359375,5971968
2025-03-15 23:00:00+00:00,1938.3443603515625,1943.9552001953125,1938.3443603515625,1943.7021484375,0
2025-03-16 00:00:00+00:00,1933.0263671875,1940.0802001953125,1933.0263671875,1936.8934326171875,0
2025-03-16 01:00:00+00:00,1922.8804931640625,1934.0020751953125,1922.6416015625,1933.067626953125,44856320
2025-03-16 02:00:00+00:00,1923.37646484375,1926.278076171875,1918.2432861328125,1922.9112548828125,55772672
2025-03-16 03:00:00+00:00,1927.9346923828125,1929.43701171875,1922.145751953125,1922.4566650390625,0
2025-03-16 04:00:00+00:00,1927.418212890625,1928.926513671875,1924.1153564453125,1927.0086669921875,0
2025-03-16 05:00:00+00:00,1931.346923828125,1932.706787109375,1926.73095703125,1926.73095703125,34477568
2025-03-16 06:00:00+00:00,1930.3084716796875,1933.0716552734375,1930.015625,1931.5062255859375,0
2025-03-16 07:00:00+00:00,1925.761962890625,1929.4188232421875,1922.6314697265625,1929.4188232421875,0
2025-03-16 08:00:00+00:00,1922.8623046875,1926.88037109375,1920.0048828125,1926.0565185546875,4291072
2025-03-16 09:00:00+00:00,1910.0689697265625,1922.90087890625,1906.9969482421875,1922.90087890625,84083200
2025-03-16 10:00:00+00:00,1905.25048828125,1913.1151123046875,1905.25048828125,1907.81298828125,59405824
2025-03-16 11:00:00+00:00,1873.98681640625,1905.4365234375,1869.4415283203125,1905.4365234375,620672512
2025-03-16 12:00:00+00:00,1883.077880859375,1887.936767578125,1873.944091796875,1873.944091796875,364288000
2025-03-16 13:00:00+00:00,1879.470947265625,1891.918701171875,1876.3092041015625,1881.8765869140625,319917568
2025-03-16 14:00:00+00:00,1895.1834716796875,1895.326171875,1879.47021484375,1879.47021484375,89273856
2025-03-16 15:00:00+00:00,1895.800048828125,1897.566650390625,1889.8829345703125,1896.646728515625,67872256
