Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-03-13 03:00:00+00:00,83572.59375,84124.8046875,83572.59375,83856.8671875,410984448
2025-03-13 04:00:00+00:00,83270.6796875,83648.2890625,83230.0390625,83554.8828125,0
2025-03-13 05:00:00+00:00,83152.875,83497.828125,83091.203125,83288.328125,84410368
2025-03-13 06:00:00+00:00,83294.515625,83294.84375,82905.40625,83147.953125,0
2025-03-13 07:00:00+00:00,83177.5625,83486.859375,83159.9609375,83269.0,94195712
2025-03-13 08:00:00+00:00,83020.7421875,83215.03125,82470.828125,83137.734375,0
2025-03-13 09:00:00+00:00,83399.921875,83450.71875,82985.9609375,82985.9609375,694329344
2025-03-13 10:00:00+00:00,83138.2734375,83418.25,83020.0625,83416.9921875,0
2025-03-13 11:00:00+00:00,82837.328125,83168.875,82745.609375,83168.875,612470784
2025-03-13 12:00:00+00:00,82444.0859375,83289.3203125,82358.8828125,82920.5703125,0
2025-03-13 13:00:00+00:00,81725.8359375,82903.4375,81671.8359375,82487.546875,0
2025-03-13 14:00:00+00:00,81962.234375,82308.171875,81606.4609375,81721.609375,0
2025-03-13 15:00:00+00:00,81059.4375,82093.890625,80997.8125,82093.890625,0
2025-03-13 16:00:00+00:00,80760.9140625,81198.6875,80719.5390625,81018.625,0
2025-03-13 17:00:00+00:00,79976.3671875,80808.0234375,79932.3515625,80808.0234375,480040960
2025-03-13 18:00:00+00:00,80788.4296875,80893.984375,80026.421875,80026.421875,563146752
2025-03-13 19:00:00+00:00,80251.234375,80948.859375,80148.3125,80768.6484375,0
2025-03-13 20:00:00+00:00,80332.5234375,80651.7421875,80147.9765625,80147.9765625,227926016
2025-03-13 21:00:00+00:00,80737.2578125,80815.7734375,80257.859375,80327.546875,144480256
2025-03-13 22:00:00+00:00,81337.1484375,81337.1484375,80732.109375,80732.109375,0
2025-03-13 23:00:00+00:00,81075.5234375,81435.0859375,81045.6640625,81348.5625,0
